id,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,labels
719,10.42,13.09,8.98,12.72,4,3,4087500,3,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0
429,3.79,3.79,,,21,1,45000000,0,0,1,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.0,1
178,0.71,2.28,1.95,2.28,5,2,5200000,2,1,0,0,0,0,photo_video,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.0,0
197,3.0,5.0,9.62,10.39,16,2,14500000,2,0,0,1,0,0,advertising,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2.0,1
444,0.66,5.88,6.21,8.61,29,5,70000000,4,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2.8,1
67,1.09,1.09,,,5,1,20500000,0,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,0
505,0.65,0.65,,,3,1,900000,0,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0
410,0.34,5.22,3.0,6.03,5,4,48730000,3,0,0,1,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,3.0,1
284,0.0,0.0,0.74,0.74,2,1,50000,1,1,0,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.0,0
252,0.08,4.33,3.66,5.61,12,7,88651133,5,0,1,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,3.1667,1
324,0.75,3.07,3.92,4.5,16,3,2000000,2,1,0,0,0,0,sports,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.6667,1
105,,1.25,2.17,4.6,21,2,6000000,2,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.0,1
673,1.28,2.01,2.16,3.44,12,2,5700000,3,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4.0,1
749,0.0,0.0,0.33,0.33,2,1,1500000,1,0,1,0,0,0,fashion,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.0,0
211,2.24,4.03,,,3,2,16100000,0,0,0,1,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2.5,1
841,0.0,0.0,,,21,1,5675000,2,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,1
48,0.25,0.25,1.12,1.66,9,1,3000000,2,0,0,1,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1
381,0.22,2.05,0.04,3.92,8,4,3499997,3,0,1,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1.5,1
315,0.75,7.82,4.32,5.9,16,7,26390819,3,0,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.3333,0
831,,1.23,0.32,1.3,4,2,1400000,2,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.0,1
130,2.42,5.44,2.0,2.0,2,3,26100000,1,1,0,0,0,0,semiconductor,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3.5,1
452,3.6,7.93,8.59,9.11,1,3,21460663,2,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4.5,1
580,2.21,4.65,,,1,2,20000000,1,0,0,0,1,0,security,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2.0,1
599,1.46,6.39,6.42,6.42,4,3,58000000,1,1,0,0,0,0,biotech,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,5.0,1
194,1.16,3.04,3.27,5.54,7,2,57000000,2,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.5,1
754,1.59,1.59,1.19,2.55,6,1,3000000,2,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1
485,1.59,3.18,,,1,3,24150000,0,0,0,0,0,1,semiconductor,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2.0,1
487,1.42,3.33,4.42,9.82,11,2,36000000,3,1,0,0,0,0,hardware,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3.5,1
299,4.3,4.3,,,0,1,2600000,0,0,0,0,0,1,public_relations,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.0,0
223,1.25,1.25,2.59,2.59,6,1,1500000,1,1,0,0,0,0,ecommerce,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0
220,4.04,4.04,6.0,6.0,10,1,20000000,1,0,1,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0,1
764,,0.63,0.59,3.01,8,2,2535000,2,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5.0,1
807,0.16,1.5,3.16,5.55,6,2,3500000,2,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.0,1
798,0.86,2.93,3.0,3.0,4,3,19000000,1,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1
869,5.2,8.12,8.01,8.01,2,2,10000000,1,0,0,1,0,0,public_relations,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2.5,0
295,1.24,4.97,1.0,1.0,1,5,13130000,1,0,0,1,0,0,web,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,0
